,Date,Open,High,Low,Close,Volume,Adj. Close
0,1991-1-1,1e-09,1e-09,1e-09,1e-09,99999999999,1e-09
1,1991-1-2,0.00019941,0.00019941,0.00019941,0.00019941,99999999999,0.00019941
2,1991-1-3,0.00049711,0.00049711,0.00049711,0.00049711,99999999999,0.00049711
3,1991-1-4,-0.00029974,-0.00029974,-0.00029974,-0.00029974,99999999999,-0.00029974
4,1991-1-7,-0.0014012,-0.0014012,-0.0014012,-0.0014012,99999999999,-0.0014012
5,1991-1-8,-0.001301,-0.001301,-0.001301,-0.001301,99999999999,-0.001301
6,1991-1-9,0.001005,0.001005,0.001005,0.001005,99999999999,0.001005
7,1991-1-10,-0.00059925,-0.00059925,-0.00059925,-0.00059925,99999999999,-0.00059925
8,1991-1-11,-0.00010001,-0.00010001,-0.00010001,-0.00010001,99999999999,-0.00010001
9,1991-1-14,-0.00089659,-0.00089659,-0.00089659,-0.00089659,99999999999,-0.00089659
10,1991-1-15,-0.00069516,-0.00069516,-0.00069516,-0.00069516,99999999999,-0.00069516
11,1991-1-16,0.00029806,0.00029806,0.00029806,0.00029806,99999999999,0.00029806
12,1991-1-17,0.0034267,0.0034267,0.0034267,0.0034267,99999999999,0.0034267
13,1991-1-18,0.0010987,0.0010987,0.0010987,0.0010987,99999999999,0.0010987
14,1991-1-21,0.0006012,0.0006012,0.0006012,0.0006012,99999999999,0.0006012
15,1991-1-22,-0.00019928,-0.00019928,-0.00019928,-0.00019928,99999999999,-0.00019928
16,1991-1-23,-9.97e-05,-9.97e-05,-9.97e-05,-9.97e-05,99999999999,-9.97e-05
17,1991-1-24,0.0013098,0.0013098,0.0013098,0.0013098,99999999999,0.0013098
18,1991-1-25,0.0017018,0.0017018,0.0017018,0.0017018,99999999999,0.0017018
19,1991-1-28,1e-09,1e-09,1e-09,1e-09,99999999999,1e-09
20,1991-1-29,0.00019822,0.00019822,0.00019822,0.00019822,99999999999,0.00019822
21,1991-1-30,0.00019965,0.00019965,0.00019965,0.00019965,99999999999,0.00019965
22,1991-1-31,0.00090154,0.00090154,0.00090154,0.00090154,99999999999,0.00090154
23,1991-2-1,-0.00070033,-0.00070033,-0.00070033,-0.00070033,99999999999,-0.00070033
24,1991-2-4,0.0020028,0.0020028,0.0020028,0.0020028,99999999999,0.0020028
25,1991-2-5,-0.00010051,-0.00010051,-0.00010051,-0.00010051,99999999999,-0.00010051
26,1991-2-6,-0.00029966,-0.00029966,-0.00029966,-0.00029966,99999999999,-0.00029966
27,1991-2-7,0.002089,0.002089,0.002089,0.002089,99999999999,0.002089
28,1991-2-8,-0.0008033,-0.0008033,-0.0008033,-0.0008033,99999999999,-0.0008033
29,1991-2-11,0.0008003,0.0008003,0.0008003,0.0008003,99999999999,0.0008003
30,1991-2-12,-0.0011943,-0.0011943,-0.0011943,-0.0011943,99999999999,-0.0011943
31,1991-2-13,-0.0016896,-0.0016896,-0.0016896,-0.0016896,99999999999,-0.0016896
32,1991-2-14,-0.00020035,-0.00020035,-0.00020035,-0.00020035,99999999999,-0.00020035
33,1991-2-15,0.0001,0.0001,0.0001,0.0001,99999999999,0.0001
34,1991-2-18,0.0016945,0.0016945,0.0016945,0.0016945,99999999999,0.0016945
35,1991-2-19,0.0003006,0.0003006,0.0003006,0.0003006,99999999999,0.0003006
36,1991-2-20,-0.0004993,-0.0004993,-0.0004993,-0.0004993,99999999999,-0.0004993
37,1991-2-21,-0.0002003,-0.0002003,-0.0002003,-0.0002003,99999999999,-0.0002003
38,1991-2-22,-0.00010035,-0.00010035,-0.00010035,-0.00010035,99999999999,-0.00010035
